127.0.0.1 - - [05/Dec/2022:21:20:21 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:20:23 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/ HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:21:16 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:21:43 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:21:43 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:21:48 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/index.jsp HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:21:56 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/edit-emp.jsp?id=5 HTTP/1.1" 200 2977
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:04 +0530] "POST /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:04 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/index.jsp HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:10 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/index.jsp HTTP/1.1" 200 3991
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:25 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:25 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:25 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:26 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:26 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:29 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:29 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:29 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:29 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:29 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:29 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:29 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:30 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:30 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:30 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [05/Dec/2022:21:22:30 +0530] "GET /CRUD_JSP_Servlet_PostgreSQL_Emp_Project/add-emp.jsp HTTP/1.1" 200 2826
